epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
51,153.11,0.90544,1.00109,1.20604,0.88098,0.41603,0.69548,0.44074,1.85437,1.74382,1.54379,3.00475e-05,3.00475e-05,3.00475e-05
52,156.695,1.09096,1.03676,1.43918,0.88098,0.41603,0.69548,0.44074,1.85437,1.74382,1.54379,3.00476e-05,3.00476e-05,3.00476e-05
53,159.662,0.60453,0.81863,1.17067,0.88098,0.41603,0.69548,0.44074,1.85437,1.74382,1.54379,3.00242e-05,3.00242e-05,3.00242e-05
54,162.701,0.84071,0.99737,1.29094,0.87564,0.41667,0.6987,0.41525,1.84647,1.74333,1.53095,2.99772e-05,2.99772e-05,2.99772e-05
55,166.384,0.73264,1.03938,1.07861,0.87564,0.41667,0.6987,0.41525,1.84647,1.74333,1.53095,2.99066e-05,2.99066e-05,2.99066e-05
56,169.371,1.18184,2.09967,1.68583,0.87564,0.41667,0.6987,0.41525,1.84647,1.74333,1.53095,2.98125e-05,2.98125e-05,2.98125e-05
57,172.488,1.05424,1.90486,1.39678,0.87428,0.41667,0.69932,0.39109,1.83306,1.76451,1.52148,2.96948e-05,2.96948e-05,2.96948e-05
58,175.45,1.09087,1.80679,1.46962,0.87428,0.41667,0.69932,0.39109,1.83306,1.76451,1.52148,2.95535e-05,2.95535e-05,2.95535e-05
59,178.406,0.9578,0.96408,1.31472,0.87428,0.41667,0.69932,0.39109,1.83306,1.76451,1.52148,2.93887e-05,2.93887e-05,2.93887e-05
60,181.402,1.13948,1.1079,1.59614,0.87171,0.41667,0.698,0.40806,1.82777,1.76203,1.5174,2.92003e-05,2.92003e-05,2.92003e-05
61,184.341,0.75595,0.91015,1.15527,0.87171,0.41667,0.698,0.40806,1.82777,1.76203,1.5174,2.89884e-05,2.89884e-05,2.89884e-05
62,187.353,0.85504,1.16896,1.1681,0.87171,0.41667,0.698,0.40806,1.82777,1.76203,1.5174,2.87529e-05,2.87529e-05,2.87529e-05
63,190.415,0.81843,1.11687,1.23179,0.87051,0.41667,0.6865,0.39374,1.81742,1.78516,1.51338,2.84938e-05,2.84938e-05,2.84938e-05
64,193.349,0.75645,0.76107,1.19626,0.87051,0.41667,0.6865,0.39374,1.81742,1.78516,1.51338,2.82112e-05,2.82112e-05,2.82112e-05
65,196.44,0.77214,0.92688,1.32481,0.87051,0.41667,0.6865,0.39374,1.81742,1.78516,1.51338,2.7905e-05,2.7905e-05,2.7905e-05
66,200.511,0.7508,1.2675,1.14969,0.86937,0.41667,0.68752,0.39147,1.817,1.79884,1.51297,2.75753e-05,2.75753e-05,2.75753e-05
67,204.149,0.83661,1.22154,1.19579,0.86937,0.41667,0.68752,0.39147,1.817,1.79884,1.51297,2.7222e-05,2.7222e-05,2.7222e-05
68,207.698,1.16819,2.13309,1.58751,0.86937,0.41667,0.68752,0.39147,1.817,1.79884,1.51297,2.68451e-05,2.68451e-05,2.68451e-05
69,210.928,0.72149,1.12328,1.19462,0.87132,0.41667,0.70023,0.4241,1.84738,1.83847,1.53326,2.64447e-05,2.64447e-05,2.64447e-05
70,213.991,0.9807,0.93042,1.43805,0.87132,0.41667,0.70023,0.4241,1.84738,1.83847,1.53326,2.60207e-05,2.60207e-05,2.60207e-05
71,217.033,1.01002,1.38226,1.36788,0.87132,0.41667,0.70023,0.4241,1.84738,1.83847,1.53326,2.55731e-05,2.55731e-05,2.55731e-05
72,220.082,0.69188,0.73323,1.18337,0.87377,0.41667,0.69959,0.45792,1.85344,1.8337,1.52754,2.5102e-05,2.5102e-05,2.5102e-05
73,223.054,0.75181,1.13022,1.11999,0.87377,0.41667,0.69959,0.45792,1.85344,1.8337,1.52754,2.46073e-05,2.46073e-05,2.46073e-05
74,226.036,0.81027,0.82684,1.32182,0.87377,0.41667,0.69959,0.45792,1.85344,1.8337,1.52754,2.40891e-05,2.40891e-05,2.40891e-05
75,229.669,0.78477,0.68578,1.19182,0.87175,0.41667,0.70101,0.42239,1.8624,1.87104,1.54592,2.35472e-05,2.35472e-05,2.35472e-05
76,232.715,0.82145,1.01116,1.30358,0.87175,0.41667,0.70101,0.42239,1.8624,1.87104,1.54592,2.29819e-05,2.29819e-05,2.29819e-05
77,236.186,0.74553,0.7614,1.17002,0.87175,0.41667,0.70101,0.42239,1.8624,1.87104,1.54592,2.23929e-05,2.23929e-05,2.23929e-05
78,239.318,0.86554,1.30585,1.20252,0.8717,0.41667,0.61937,0.37427,1.88079,1.92455,1.56299,2.17805e-05,2.17805e-05,2.17805e-05
79,242.697,0.68655,1.03608,1.17754,0.8717,0.41667,0.61937,0.37427,1.88079,1.92455,1.56299,2.11444e-05,2.11444e-05,2.11444e-05
80,246.086,0.75273,1.0022,1.21522,0.8717,0.41667,0.61937,0.37427,1.88079,1.92455,1.56299,2.04848e-05,2.04848e-05,2.04848e-05
81,249.897,0.53822,0.58643,1.01387,0.87409,0.41667,0.59144,0.36308,1.86642,1.95274,1.56106,1.98016e-05,1.98016e-05,1.98016e-05
82,253.244,0.88056,0.80838,1.21124,0.87409,0.41667,0.59144,0.36308,1.86642,1.95274,1.56106,1.90949e-05,1.90949e-05,1.90949e-05
83,256.807,0.79337,0.92048,1.19624,0.87409,0.41667,0.59144,0.36308,1.86642,1.95274,1.56106,1.83646e-05,1.83646e-05,1.83646e-05
84,260.976,0.75711,0.81918,1.13635,0.84884,0.4,0.59087,0.3611,1.86428,1.9449,1.55449,1.76107e-05,1.76107e-05,1.76107e-05
85,264.131,0.69851,0.83101,1.19769,0.84884,0.4,0.59087,0.3611,1.86428,1.9449,1.55449,1.68333e-05,1.68333e-05,1.68333e-05
86,267.148,0.76036,1.17151,1.14274,0.84884,0.4,0.59087,0.3611,1.86428,1.9449,1.55449,1.60323e-05,1.60323e-05,1.60323e-05
87,270.212,0.76838,0.88627,1.09068,0.84884,0.4,0.59087,0.3611,1.86428,1.9449,1.55449,1.52077e-05,1.52077e-05,1.52077e-05
88,273.396,0.84112,1.15442,1.41261,0.84534,0.40867,0.58416,0.36706,1.84542,1.9281,1.5405,1.43596e-05,1.43596e-05,1.43596e-05
89,276.408,1.11222,1.23798,1.52572,0.84534,0.40867,0.58416,0.36706,1.84542,1.9281,1.5405,1.34879e-05,1.34879e-05,1.34879e-05
90,279.483,0.7348,0.85171,1.06738,0.84534,0.40867,0.58416,0.36706,1.84542,1.9281,1.5405,1.25927e-05,1.25927e-05,1.25927e-05
91,282.653,0.55676,0.77823,1.00842,0.84534,0.40867,0.58416,0.36706,1.84542,1.9281,1.5405,1.16739e-05,1.16739e-05,1.16739e-05
92,285.819,0.76868,0.86627,0.98578,0.96747,0.35178,0.69749,0.45666,1.85999,1.84834,1.5291,1.07315e-05,1.07315e-05,1.07315e-05
93,289.274,0.62439,0.72464,1.0814,0.96747,0.35178,0.69749,0.45666,1.85999,1.84834,1.5291,9.76562e-06,9.76562e-06,9.76562e-06
94,292.786,0.61284,0.73454,0.95429,0.96747,0.35178,0.69749,0.45666,1.85999,1.84834,1.5291,8.77613e-06,8.77613e-06,8.77613e-06
95,296.125,0.47826,0.66286,0.97414,0.96747,0.35178,0.69749,0.45666,1.85999,1.84834,1.5291,7.76308e-06,7.76308e-06,7.76308e-06
96,299.636,0.63004,0.78511,1.09764,0.96793,0.35185,0.69906,0.44061,1.86765,1.87511,1.53827,6.72648e-06,6.72648e-06,6.72648e-06
97,302.879,0.74954,0.83052,1.0825,0.96793,0.35185,0.69906,0.44061,1.86765,1.87511,1.53827,5.6663e-06,5.6663e-06,5.6663e-06
98,306.949,0.65882,0.73309,0.99985,0.96793,0.35185,0.69906,0.44061,1.86765,1.87511,1.53827,4.58257e-06,4.58257e-06,4.58257e-06
99,310.345,0.60423,0.78665,1.00258,0.96793,0.35185,0.69906,0.44061,1.86765,1.87511,1.53827,3.47528e-06,3.47528e-06,3.47528e-06
100,313.897,0.60161,0.71271,1.04177,0.96561,0.35198,0.7688,0.4066,1.87525,1.87566,1.54366,2.34442e-06,2.34442e-06,2.34442e-06
